date,message
2017-04-20 23:47:39,"Dr. Double Digit Boner Maker named the group AlltNemaGetterPls."
2017-04-21 13:26:58,"Dr. Helmingur named the group EkkertNemaGetterPls."
2017-04-21 13:27:27,"Dr. Amigo named the group EkkertGetterPls."
2017-04-21 17:03:48,"Dr. Double Digit Boner Maker named the group GETTER ER DRASL."
2017-04-24 15:34:25,"Dr. Helmingur named the group HJÁLMAR ER DRASL."
2017-04-24 20:00:10,"Dr. Sefurhjástelpum named the group ARNIE ER EKKERT NEMA ÚLDIN SOKKUR."
2017-04-28 08:20:02,"Dr. Sefurhjástelpum named the group Bústaður?"
2017-05-09 18:41:42,"Dr. Helmingur named the group Bústaður!"
2017-05-17 15:44:53,"Dr. Helmingur named the group #BoyCottBónus."
2017-10-19 19:40:52,"Dr. Vinnunærbuxur named the group #EINAROGFELLARNIR."
2017-11-09 20:29:04,"Dr. Vinnunærbuxur named the group #BINGO."
2017-11-09 23:03:50,"Dr. Amigo named the group #BoNGO."
2017-11-28 10:05:42,"Dr. Sefurhjástelpum named the group #BoNGO xd."
2017-12-18 00:18:55,"Dr. Double Digit Boner Maker named the group EKKI LESA."
2017-12-23 19:51:34,"Dr. Sefurhjástelpum named the group Konuelskendur."
2017-12-23 19:51:52,"Dr. Sefurhjástelpum named the group Karl."
2017-12-23 19:52:10,"Dr. Sefurhjástelpum named the group Karlmenn sem virða konur."
2018-01-11 14:02:28,"🎉🎉Dr. Wincest 'lók' Holmes🎉🎉 named the group Karlmenn sem myrða konur."
2018-01-11 14:27:46,"Dr. Sefurhjástelpum named the group Karlmenn sem virða konur."
2018-01-11 14:28:24,"Dr. Vöðvar McPabbi named the group Karlmenn sem virða og myrða konur."
2018-01-11 14:31:02,"Dr. Cardi-O Grafíkman named the group Karlmenn sem virða og myrða og gyrða og girða konur."
2018-04-06 14:32:52,"Dr. Vöðvar McPabbi named the group Help."
2018-04-07 23:03:54,"Dr. ManniBara named the group Party Hjá Leksu, Komiði."
2018-04-08 13:54:40,"Dr. Vinnunærbuxur named the group Boycott Öryggismiðstöðina."
2018-04-08 14:09:10,"Dr. Vinnunærbuxur named the group Það hét 'karlmenn sem virði, girða og myrða konur'."
2018-04-08 14:10:55,"Dr. Double Digit Boner Maker named the group #Boycott Karlmenn."
2018-04-08 15:00:37,"Dr. Amigo named the group #Boycott Skákmenn."
2018-04-25 21:31:13,"Dr. Vöðvar McPabbi named the group #Boycott Fugla Sticker."
2018-05-24 14:36:58,"Dr. Helmingur named the group #Boycott Marxism."
2018-05-26 14:23:56,"Dr. Vinnunærbuxur named the group Ekki #Boycott Ammlið hans Eyva, 1 Juni Fös."
2018-06-07 09:58:23,"Dr. Vinnunærbuxur named the group #Boycott Kapítalisma."
2018-06-17 19:30:02,"Dr. Helmingur named the group #Boycott 😍😂😮😢😡👍👎."
2018-06-22 16:47:04,"Dr. Leaver named the group #Boycott Nígeríuþrælar."
2018-08-09 20:54:38,"Dr. Cardi-O Grafíkman named the group #Boycott Typing."
2018-08-25 18:09:48,"Dr. Vinnunærbuxur named the group #Boycott Egilsstaðir."
2018-10-28 21:43:16,"Dr. Double Digit Boner Maker named the group VATN."
2018-10-28 21:43:30,"Dr. Sefurhjástelpum named the group #(dont)Boycott VATN!!"
2018-10-28 21:43:43,"Dr. Ævar named the group # Boycott VATN!"
2018-10-28 21:46:12,"Dr. Trufflusúkkulaði named the group #Boycott VATN!"
2018-10-28 21:46:28,"Dr. Leaver named the group #ekkiBoycott VATN!"
2018-12-06 01:05:19,"Dr. Vöðvar McPabbi named the group #ekkiBoycott Vélrottur."
2018-12-11 18:19:10,"Dr. Leaver named the group #Boycott ⚽️."
2018-12-25 20:45:20,"Dr. Ævar named the group #Boycott Eyvi Með 10."
2019-02-20 18:27:47,"Dr. ManniBara named the group #Boycott Eyva Og Jón Fyrir Að Kaupa Ekki Jakkann."
2019-04-11 17:22:05,"Dr. Sefurhjástelpum named the group #Boycott Stella."
2019-04-15 18:19:14,"Dr. Ævar named the group #Boycott Weebs."
2019-05-03 16:41:13,"Dr. Leaver named the group #Boycott Vinir."
2019-05-08 16:30:44,"Dr. Cardi-O Grafíkman named the group #Boycott Kg."
2019-12-31 11:23:01,"Dr. Helmingur named the group #Boycott 2019."
2020-01-29 19:17:07,"Dr. Leaver named the group #Boycott China."
2020-08-26 12:22:23,"Dr. Helmingur named the group #Boycott Covid."
2020-09-17 22:39:53,"Dr. Double Digit Boner Maker named the group #Boycott Pabbar."
